name,pokemonid,formid,formname,gen,release,type1,type2,species,height,weight,gender,catch_rate,base_exp,egg_cycles,friendship,growth_rate,hp,attack,defense,spatk,spdef,speed,ev_hp,ev_attack,ev_defense,ev_spatk,ev_spdef,ev_speed,group
bulbasaur,bulbasaur,,,1,red-blue,grass,poison,Seed,0.7,6.9,1:7,45.0,64.0,20.0,50.0,medium slow,45,49,49,65,65,45,,,,1.0,,,sredniaki
ivysaur,ivysaur,,,1,red-blue,grass,poison,Seed,1.0,13.0,1:7,45.0,142.0,20.0,50.0,medium slow,60,62,63,80,80,60,,,,1.0,1.0,,sredniaki
venusaur,venusaur,,,1,red-blue,grass,poison,Seed,2.0,100.0,1:7,45.0,236.0,20.0,50.0,medium slow,80,82,83,100,100,80,,,,2.0,1.0,,sredniaki
venusaur-mega,venusaur,mega,Mega Venusaur,6,x-y,grass,poison,Seed,2.4,155.5,1:7,45.0,281.0,20.0,50.0,medium slow,80,100,123,122,120,80,,,,2.0,1.0,,sredniaki
charmander,charmander,,,1,red-blue,fire,,Lizard,0.6,8.5,1:7,45.0,62.0,20.0,50.0,medium slow,39,52,43,60,50,65,,,,,,1.0,specjalni
charmeleon,charmeleon,,,1,red-blue,fire,,Flame,1.1,19.0,1:7,45.0,142.0,20.0,50.0,medium slow,58,64,58,80,65,80,,,,1.0,,1.0,specjalni
charizard,charizard,,,1,red-blue,fire,flying,Flame,1.7,90.5,1:7,45.0,267.0,20.0,50.0,medium slow,78,84,78,109,85,100,,,,3.0,,,specjalni
charizard-mega-x,charizard,mega-x,Mega Charizard X,6,x-y,fire,dragon,Flame,1.7,110.5,1:7,45.0,285.0,20.0,50.0,medium slow,78,130,111,130,85,100,,,,3.0,,,specjalni
charizard-mega-y,charizard,mega-y,Mega Charizard Y,6,x-y,fire,flying,Flame,1.7,100.5,1:7,45.0,285.0,20.0,50.0,medium slow,78,104,78,159,115,100,,,,3.0,,,specjalni
squirtle,squirtle,,,1,red-blue,water,,Tiny Turtle,0.5,9.0,1:7,45.0,63.0,20.0,50.0,medium slow,44,48,65,50,64,43,,,1.0,,,,sredniaki
wartortle,wartortle,,,1,red-blue,water,,Turtle,1.0,22.5,1:7,45.0,142.0,20.0,50.0,medium slow,59,63,80,65,80,58,,,1.0,,1.0,,sredniaki
blastoise,blastoise,,,1,red-blue,water,,Shellfish,1.6,85.5,1:7,45.0,239.0,20.0,50.0,medium slow,79,83,100,85,105,78,,,,,3.0,,sredniaki
blastoise-mega,blastoise,mega,Mega Blastoise,6,x-y,water,,Shellfish,1.6,101.1,1:7,45.0,284.0,20.0,50.0,medium slow,79,103,120,135,115,78,,,,,3.0,,sredniaki
